text,classification,topics,
"Wedding Rings Marquee is located at main Nasir Bagh Road Near Naseer Teaching Hospital.
A small wedding Hall but outstanding for small functions and gatherings of all types..
Cleanliness is very good.. arrangements are good..
decorated wedding hall..
very good location as it is located on main Nasir bagh Road in open area..
Where parking is no problem..
at vast open front area plus it's own parking..
Services are very good.
staff very efficient.
Dishes are superb and tasty..
Crockery is descent, neat and clean..
Good cooling system.. air-conditioned throughout..
A very good wedding Hall overall.
Highly recommended",neutral,,
Reasonable Price and awesome location,good,,
Good environment for any gathering.,good,,
"Wedding Rings Marquee

Banquet Hall

Located on main Nasir Bagh road some 1.5 kms from main University/G.T. Road Peshawar

Located on the right side of canal going to words Police colony etc

Newly built hall

It's still good

It's clean

Medium size hall, it's not a very big hall.

Almost 1000 to 1200 guests are easily be entertained at once here

Very low or in other words less parking lot for parking of 1000 people

Over all its good

Management is good

Very cooperative team working here

Booking rates are very Low as compared to other wedding halls.

Thanks",neutral,,
"Nice and Clean place, good Food, good Services, with parking facility",good,,
"Lessser space for parking and poor drive way  almost like climbing on a hill not suitable for ladies and ager people if they go by walk to enter the hall and also you will face problem if you drop them by cars,not suitable for big functions too.",neutral,,
"As the MD of the Wedding Rings Marquee i am thankful for the customers response. We trying our best to facilitate & provide our best services with good quality & delicious food, indoor & outdoor decoration, Vast Parking, Ladies & Gents waiter services as well as full proof Sequrity.",good,,
It was a good day spent there.,neutral,,
Good place for gathering,good,,
"Affordable and Nice Wedding Hall. Manager and all Staff are very helpful and will arrange the Hall setting for your occasions, events and celebrations according to your need and wish.",neutral,,
less expansive weddings Hall with average covered area but situated in good location out of main university Road avoid traffic problems,neutral,,
It's more fun in this marque. because of several reasons.  So why i liked it.,neutral,,
"Average hall, poor service, fly's were all over dining, parking is low, prayer place available.",neutral,,
"Best hall with two separate portions for ladies and gents and also good cooperative staff...
For ladies portion female staff was working ??????...",good,,
"It was an amazing experience ??
Wedding ring marquee provide best environment as well as best food for wedding or party's.",good,,
"Nice Services,large parking, overall nice place near to university Road,in future will be near to Ring road.",neutral,,
Parking and hall's space is insufficient for  large participants. Food quality is satisfactory.,neutral,,
It is an awsome place for wedding and parties. Very spacious and beautiful building.,neutral,,
Filthy place. Flies all around the plates and on the utensils. Highly mismanaged,bad,,
Good place but lacks proper parking space,neutral,,
Wedding ?? hall with all the basic facilities. Parking as usual is limited but managed well.,neutral,,
Is a good place for celebration of different events like wedding etc. As the wedding rings hall have wide hall with parking,neutral,,
Beautiful and spacious hall. Vast parking. Easily accessible on main Nasir Bagh Road.,neutral,,
"It's capacity is 800 max, hall in kind of basement. Less parking. Good place and affordable",neutral,,
Good place for functions and weddings .. well decorated and well trained staff..,good,,
Good we enjoyed our friend kabir wedding walimaa very good food items very good SOPs arrangements,good,,
The floor is very slippery for wedding is bas just oky if you don't have another place then choose it,neutral,,
Beautiful and affordable place with large parking area .love it,good,,
Reasonable wedding hall with some place for car parking and food was good,good,,
In one sentence it's fabulous and fruitful.,neutral,,
Good,good,,
Food and services are appreciable.. gathering is separate for ladies and gents. Also female staff (waiters) in ladies section.,neutral,,
"Not suitable for gatherings exceeding 500 persons,
Not sufficient parking space",neutral,,
"Average..
It has vast parking. Hall is also vast. Not airconditioned but equipped with air coolers and pedestal fans. . It seems that it is an economical hall and serving medium and medium lower class to manage their functions under a roof.
Dont like much...",neutral,,
"What a amazing venue. Beautiful place for a Wedding ceremony. The every aspect of this place is simply beautiful. Food was amazing, very cooperative staff service but nothing beats the ambiance of the place.",good,,
A medium size wedding hall with a capacity of accommodating up to 500-600 guests at a time. Also has it's own parking space for 40-50 vehicles.,good,,
We visited in October The weather is good but still they had AC at full speed that is not good for health.,neutral,,
"Amir jan hall is in Gulbahar 1, Peshawar. It has vast parking. Hall is also vast. Not airconditioned but equipped with air coolers and pedestal fans. Seems clean enough but a heavy smell is felt in the hall right after you step-in. It seems that it is an economical hall and serving medium and medium lower class to manage their functions under a roof.",neutral,,
"Chatgpt ??Jan's Banquet Wedding Hall is a premier venue that epitomizes elegance and sophistication, providing couples with the perfect setting to celebrate their special day. Situated in a picturesque location, this exquisite wedding hall offers an unparalleled experience, making it a preferred choice for couples in search of a truly memorable wedding celebration.

One of the standout features of Jan's Banquet Wedding Hall is its grand and opulent interior. The hall is tastefully decorated with intricate details, luxurious furnishings, and breathtaking lighting, creating a magical ambiance that sets the stage for a fairytale wedding. The attention to detail in the design and décor ensures that every corner of the venue exudes elegance and refinement, making it an ideal backdrop for capturing timeless wedding photographs.

The spacious layout of Jan's Banquet Wedding Hall allows for flexibility in event planning, accommodating both intimate gatherings and large-scale celebrations. Whether couples envision a small, intimate affair or a lavish extravaganza, the hall can be customized to meet their unique requirements. The professional event management team at Jan's Banquet Wedding Hall works closely with couples to bring their vision to life, ensuring that every aspect of the event is meticulously planned and executed.

In addition to its stunning aesthetics, Jan's Banquet Wedding Hall offers top-notch amenities and services. From state-of-the-art audiovisual equipment to a well-trained and courteous staff, every detail is taken care of to provide a seamless and unforgettable experience for couples and their guests. The culinary offerings are nothing short of exceptional, with a diverse menu that caters to a range of tastes and preferences. The experienced chefs at Jan's Banquet Wedding Hall create delectable dishes using the finest ingredients, ensuring a culinary journey that delights the palate.

Jan's Banquet Wedding Hall's commitment to excellence extends beyond its physical attributes. The team is dedicated to delivering impeccable service, going above and beyond to make each couple feel valued and special. From the initial planning stages to the execution of the event, the staff is attentive, professional, and committed to ensuring that every detail exceeds expectations.

In conclusion, Jan's Banquet Wedding Hall is a dream destination for couples seeking a sophisticated and unforgettable wedding experience. With its enchanting ambiance, impeccable service, and attention to detail, it sets the stage for a celebration that will be cherished for a lifetime. From intimate ceremonies to extravagant receptions, Jan's Banquet Wedding Hall provides the perfect backdrop for couples to embark on their journey of love and commitment surrounded by beauty, luxury, and warm hospitality.",good,,
"Best wedding hall for marriage ceremony and engagement programme...
Having enough car space and parking.
Near to main GT Road...",neutral,,
Jan's Banquet Hall is far good for wedding function's but the parking issue it has.,neutral,,
"Best management I've seen soo far, totally recommended ??",neutral,,
"Amir Jan shadi hall is good hall for 500 to 600 persons gathering. Location is good , external look is good and interior decorations is good. 8 to 10 persons sitting arrangements on dinner table. Stage for bridge and groom is good. Chairs and chair cushion cover are according to event that is yellow on Rasme Hina and red on barat. Overall good wedding hall for medium gathering in Gulbahar colony area.",good,,
So far so good. Food taste and quality is not up to the mark,neutral,,
The decoration is good but the quality of food must like to improve in future.,neutral,,
Well it's a good place for Ceremonies but the arrangement can be made for only a limited number of people. Parking is also for limited number of vehicles,neutral,,
A very nice ambiance and beautiful envisaged environment and tasty food the staff was active and quick,good,,
A Best choice  for wedding ceremony... in Gul Bahar...,good,,
I have attended many wedding functions in Jan's wedding hall. Its really a nice place to hold any type of gathering. Its a spacious place and can hold 4000 people at time for meals.,good,,
"I liked the place as it has ample parking and is located in easily accessible place. It is next to a main road and if anyone visits this place, they don't have to go across busy roads and waste a ton of time. This place is not very far from m1 interchange and for anyone coming from outside peshawer can easily manage to reach in time. The hall is spacious and sitting arrangements are good.",neutral,,
Best Banquet hall In This Area Bcoz Parking area has so much Professional Staff Both Side Hall Area Is Big ??,neutral,,
Great for all kind of indoor and also for outdoor events.,good,,
"Worst pathetic services, hell smelly washrooms. And bridal room is adjacent to washroom. Its so difficult to stay in bridal room. There is no proper sofa or sitting arrangement in bridal room. Chair covers are full dirty they dont even bother to remove n wash it. They adjust all functions on dirty chairs. DJ is more pathetic there. He dont even know what to play in marriage event. Overall rated 2 out of 10",bad,,
"Their services and management was ??
Truly devoted and professional..",neutral,,
"it is one of the best wedding halls in peshawar.... excellent ambiance,huge parking, easy access makes it very apt option",good,,
Just wedding ?? Hall. Table's setting for ten person's on one table can eating. Suitable parking for your vehicle's ?? not decorated like other big Halle's.,neutral,,
Neat and clean with plenty of space. Suitable for wedding ceremonies and well come or farewell programs or other gatherings.,neutral,,
"Very nice place to hold large gatherings, weddings, or any other functions. This place has wheelchair accessibility both in parking & getting inside the halls. The hall is well maintained & the air conditioning is awesome, considering the upcoming hot weather, it's a perfect place to select your next gathering.",good,,
"Not very good experience. I fail to understand as to why such premises can not ensure clean n hygienic wash rooms, whereas, they earn millions. Pathetic wash rooms.
Moreover, the ambient was so noisy.",neutral,,
It is really a good hall for large gathering even. Large parking best hall. Best staff thumbs up. Cheers.,good,,
"This place is very beautiful and clean.....
I like it so much",good,,
Best wedding hall in Peshawar,good,,
"Dont know about staff and rate.
Was attended in a ceremony. Hall was ok. Setting was ok. Not a very Big Hall for gents. But 300 can be adjusted I think.
Food was Ok. Saag (spinach) was achari taste, Rice was ok. Chicken was ok. Beef was ok. But was cooked in 3rd quality ghee not cooking oil. Halwa was as usual.
Over all 3-4 star.",neutral,,
A wonderful place for wedding consist of 512 seats for the wedding guest,good,,
Cool wedding hall. Happened to attend wedding of one of my relative. It was a pleasant surprise. Lovely ambience. The airconditioners were chilling despite hot July of Peshawar when nothing works under the scorching sun. Food was fresh and yummy. Service was quick and efficient. Overall satisfaction.,neutral,,
Hall is good but limited to normal normal wedding. Parking space is for 30 to 35 vehicles.,neutral,,
"Nice hall in gulbahar no 1 near kidey hostpital , nice experience of the day here open parking and beutiful arrangement ????",neutral,,
"1)It is a good wedding hall.
2)It has large capacity for people.
3)Its has also very best interior and its management and all other things are also of best quality.
4) Its parking is also very big.",good,,
Nice weeding hall for small to medium function. Location is also reachable for at least city living people. Big parking area. From inside it's well constructed. It can accommodate at least thousand people at one hall.,neutral,,
Spacious wedding hall in Gul Bahar for more than 1000 guests. Parking area is good. Food is so delicious,good,,
"It is a wedding hall. The food was good. However, the tableware was not very clean. The place also lacked heating and was hardly hygienic.",neutral,,
"Good for upto 800ppl program.
Serving staff is active and professional.
Setting( stage, furniture and crockery) are average.
Recomanded.",neutral,,
Beautiful Shadi Hall. I liked its ambience very much. Service and cutlery was also good. Clean and tidy Hall.,good,,
good experience ever,good,,
Very beautiful.. special car parking is best,good,,
The recent innovation the owner did and added some lightning were beautiful. Arranged my mehndi function here and it was great. Economical and worth ur money.,good,,
"Jans marquee was out of my expectations. Fantastic food,, very nice ambience and good service. Good location and also parking is available to accomodate atleast 70cars",good,,
Nice hall,good,,
"Worst hall I've been to. Extremely bad service and condition of plates etc is worse.
I'll not recommend it to anyone for marriage etc.",bad,,
A very good wedding hall located in main pshawar city also having a large car parking. Hall is well designed air conditions are also well working,good,,
Fraud. They make bookings on cheap rate and later on a day before the event they call you and ask for more money or cancel the booking and you have no option other than to pay what they demand.,bad,,
"Located close to motor way v suitable for ppl coming from other cities to peshawer
Huge parking space
Beautiful decor
Food is hygienic v nicely cooked
Good wash rooms",good,,
"Good place for 4 to 500 gathering on average rates, parking is good, cooking area spacious good staff",good,,
Lords a series of banquets halls are very beautiful and lavish in good area of Lahore. I have attended events. Good location best hospitality and testy food...,good,,
"I recently attended an event at Lord's Marriage Hall and had a generally positive experience. The venue was well-decorated and the service was good. However, the ice cream served was not up to my expectations.

The staff at the hall were friendly and accommodating, and the overall atmosphere was pleasant. The event went smoothly and everything was well-organized. However, the ice cream was not of good quality and did not meet my expectations.

Despite this issue, I would still recommend Lord's Marriage Hall for events. The venue and service were both good, and the issue with the ice cream was relatively minor. Overall, my experience was positive, and I would be willing to attend events at this venue again in the future.",neutral,,
"So much of hustle in the parking area that it almost created a panic situation.
They should let people park where their events are but they were letting people park in the beginning and walk to the hall which was quite far specially the 3 & 4
Nevertheless it was bad from the management end.
Other than that things were normal
The food was not so delicious and the desert was cold.
So this was something I'll tell people choosing this hall for their events.
However the decor was very fantastic and i like the setup which was of premium quality. But honestly 0 points for the other parts",bad,,
"Zabardast event hall ,spacious, beautiful and elegant. Very clean, with beautiful decoration .Very near ring road exit . Food and service Very good ?? ??",good,,
"We have covered our 3 events in lords event complex and we are 100% satisfied Management is very cooperative .. halls are spacious,neat and clean...their furniture is up to date! They did decorations very beautiful and have amazing ideas for decoration as well!
Corridors are also very spacious and beautiful decorated,shoots can also be done.",good,,
The best part of this place was the ample parking space. Away from the city strife. Great atmosphere. Well-designed buildings. 5 out of 5.,good,,
"One of the best events complex in defence Road lahore best place for all types events It was good, sitting facility, capicity and quality is quiet good and i can't say anything about food cause I've not tried their taste.",good,,
Big hall. No music alhamdulilah. Homeless kids asked for some food so I took them inside for the wedding. They ate. May Allah give us forgiveness and paradise. I hope we become caring like the prophet Muhammad peace be upon him. Allah is perfect. Hall closes lights at 9.55 or sooner. Parking is big. Lots of halls. May Allah save us from the fire.,neutral,,
My experience here is quite Good enough because it was our examination center for C. A. F.... It's too far away from every accessible places for students....,neutral,,
"Quite a good event place and huge parking. Food and service was also good but taste of food was not exceptional, provided the same price range.",neutral,,
"I went there for my exams. That place was really amazing from inside, I mean the ceiling was mesmerizing truly. Only thing that I hate about that place is the distance I had to cover to go there??.",neutral,,
Its good by all sights beautiful building well furnished nicely managed cooprated staf security is up to the mark overall i like it in one glance.,good,,
"I gave my CAF exam here, good facility over all, but no shade outside.
No plantation outside, it gets hot like sahara desert in courtyard.",neutral,,
"Pathetic experience with them. Mr Bilal especially make fake commitments and threatens during event. Bad oil was used in food and majority people got food poison after the event. Overall, I would not recommend and if you want to waste your hard earned money, you can waste.",bad,,
Good vast parking. Well maintained neat and clean events halls. Good quality is good.,good,,
Just a marriage hall like any other... Flower arrangements and food is totally on the host.. And building is reasonably good with the usual necessities.,neutral,,
Beautiful Event complex near Valancia Town n DHA ????? Excellent service tasty & fresh food,neutral,,
"The food is very average!
Halls are neat and beautiful!",neutral,,
"Nice staff and quick service
Well maintained
Huge parking
Good interior
Food was good",good,,
The food and atmosphere was good.,good,,
"Had an amazing experience
Well trained staff and a very hygienic environment",neutral,,
"Such a beautiful place ??
I like it but the roads and traffic is to much in this side.",neutral,,
Good arrangements ampel parking. Quality food,good,,
This place have nice and spacious banquet hall. This is located in a peaceful environment a little far from rushy areas of lahore.,neutral,,
This Is Very Cool Place,good,,
It's was a wonderful evening with such a great food & service .,good,,
Spacious halls and front lawns are big enough to accommodate big gatherings. Decor and food departments are highly professional to meet your requirements. All the arrangements are of super high quality. Food is hygienically cooked and served. I personally recommend Lords Event Complex on Defence Road Lahore Pakistan for your gatherings or meet-ups. No hassles of parking or traffic. Leave all your worries to the management and enjoy your function.,neutral,,
"Nice interior, well trained staff",good,,
"Pathetic arrangements we had experience.. at the time of booking their statements were different, they promise to  acomodate if guest increased, but when we feel guest are increasing we ask  them to  arrange more chairs,bilal put plastic dirty chairs omg,  not recomended,,decor was not so impressive highly charged for normal decor,, however food was good,,,stage was average, old one need to change it",bad,,
"It was a good Walima function. Their food is extraordinary good and tasty and food is what matters.
The manager Bilal dealt us personally and was so cooperative.

10/10",good,,
Bad experience. Fake commitments and trap clients. There are a lot better options in the same area or around 2-3KMs.,bad,,
"96WX+25H Q, Defence Rd, near Banu Hashim park Chowk, Wocland Villas, Lahore, Punjab",neutral,,
The Ambience was very good. The decoration was immaculate. In food the starter soup was awesome. Rest of the food was also good. Had a good experience. I would recommend people to book this place for events.,good,,
"Standard of hall is gone too low. Broken tiles, mirrors etc. extremely poor and shabby stage, broken from multiple places. They will keep saying that it will be prepared before event but at the last moment it will be same.
Most importantly, the flower decor person, Mr Butt is the worst person when it comes to execution of what is shown at the time of deal in his office.
What is shown in pictures in done 40% on day of event with poor standard and Mr Butt escapes the venue and doesnt responds.
Very disappointed with such management!!",bad,,
"Best service.
Hygienic food. Meat extremely tender",good,,
"Dinner taste is not to much good Because this food is included in their booking Your prepared food is not used Because when we test, it is something else and in food it is something else only  wonderful experience decoration and Management but",good,,
Good experience good quality and atmosphere is perfect vast space for parking is also available overall experience is Good.,good,,
"Very nice, decent, and well proportioned event complex, but very far, if you life in Cantt or DHA, Lahore.
Good car parking.
Bathrooms, the bane of all event halls, were smelly and wet.
In this regard The Farmhouse, near Elite Police training school on Bedian road is top class choice and facilities are better than 5 star hotels.",neutral,,
"Nice place for functions like marriages, get togethers etc.",good,,
A very organised place to organise the event like wedding and bithda,neutral,,
Very neat and clean event area with fine event team.,neutral,,
ample parking clean place good food,good,,
"Five halls, each is spacious for about 400 persons. Easy access. Decent decor. Nice food. Spacious parking.",neutral,,
"Nice event complex, food really too much tasty.",neutral,,
There are wonderful . The arrangement was very good and hall was looking very nice,good,,
"It was a great pleasure for me that I was invited in a Party which was given by my most beloved & heartiest personality, Mutaram Bhai Ibtesam Ilahi Zaheer (Hafizahullah) of his beloved Son's Waleema.",good,,
"Ideal place for wedding events,  consisting of 5 Halls,with a  capacity of 2500 plus guests, is open for booking. Ideally located at DHA Phase 11",good,,
I Like the Lord's Event Complex that is very beautiful ?????????? Place for the marriage..,neutral,,
"Food is perfect, Excellent taste and well cooked",good,,
"Attended two events two weeks before and had an awful experience, the management was not cooperative and the food quality was extremely poor. I thought at first, it's a good place but had two bad experiences in a row.  Also, asked DJ to play some songs and he refused that he didn't have nor the hall allows him to use internet. Like why do we pay to DJ then? Only good thing was parking but that's useless if we are to receive that poor quality of management and food there.",bad,,
"Nice place to have lunch, specially in winters. Overall the experience is fine. Food is of fine quality but cant compare with fine dining. They take some time to serve food. Prices are reasonable. Overall good experience",neutral,,
Very nice place and environment. Secure and guarded. Was here for an event,good,,
Worst place to be. Management is extremely rude even when you are paying them in millions they will still show their arrogance and paindu behavior,bad,,
"Royal Palm Golf and Country Club, a spot we've frequented for countless functions. It's a top-notch, well-kept establishment in our beloved Lahore. This place exudes a classic charm that's hard to resist. Whether it's a wedding, a corporate event, or a casual visit, Royal Palm's upkeep and ambiance never disappoint. From manicured lawns to elegant halls, it sets the stage for memorable experiences.

As Lahoris, we appreciate this gem for adding a touch of sophistication to our city's social scene, making it a go-to destination for gatherings, celebrations, and a dose of Lahore's warm hospitality.",neutral,,
"One of the most underrated clubs of Lahore, it has best ambience food, especially Saturday night live music and buffet, you can play golf too",good,,
"The place is really pretty, they have a huge golf course with loads of different plants and trees. Can see a variety of wildlife here.
The cafés and their food is really delicious, with a myriad of different cuisines for different tastes. The prices are high though as compared to other establishments.
The staff there is really courteous and helpful, they will try their best to accommodate your preferences and are really respectful.
The wedding Halls are also really good, with enough room for lots of people. The wedding food is average at best, but that's just my opinion on one-dish food.",neutral,,
"What a lovely place to meet, eat and greet.
Awsome taste of almost every thing.
Coorporative management.
I tried their alaska fish, mutton kunna, steaks, Rice, bbq, fruit trifle, russian salad, puddings.
You can do any kind of meeting, event and celebration. Spacious parking available.",neutral,,
I had visited this place years ago and then it was a nicely articulated well managed club but now with passage of time its deteriorating due to not proper maintenance activities,neutral,,
A place for corporate events and wedding functions to celebrate. Access is very easy since located on main canal bank. Service level is also good and good arrangements in the marquee.,good,,
Historical place. Property of Pakistan Railways. Under the management of a private company the food was good. I feel management is not taking care of the club.,neutral,,
"The Royal Palm Golf and Country Club (RPGCC) is a golf course and social club complex in Lahore, Punjab, Pakistan. It is located on the Canal Bank Road in Lahore. It was previously owned by the Pakistan Railways and called the Pakistan Railways Golf Club. In 2001, the club was sold by Pakistan Railways to the current management and renamed as the Royal Palm Golf and Country Club. It is a national and international sports venue. As of 2013 memberships were the equivalent of $8,000.",bad,,
"I attend an election meeting related to Lahore Bar Association upcoming Elections in Royal Palm Golf and Country Club. The experience is good to attend the meeting, the services and sitting style is best and the staff of the Royal Palm Golf and Country Club is cooperative. Dinner is average need to improve the quality. It is located on the Canal Bank Road in Lahore.",neutral,,
Earlier days with blossoms as their decor vendors it was good. But now have cancelled all of our events with them due to seasons event management they have partnered with!,bad,,
"Nice place, enjoyed hitea there. Variety was less but overall taste was good. Value for money.",neutral,,
I attended the Coke Studio Live Event at Golf Ground of RPGCC. Its a good place. But Royal Palm should educate their gate staff.,good,,
"Being a founding member, it really hurts to say that rather than on a continuous betterment tread, the places Customer services / offerings are on a downward trend. For the last many years & due to the management taken over by Pak Railways the services and the club offerings have taken a downhill slide but do hope for the things to get better soon.",neutral,,
"Lovely place to visit with your friends as well as family.

Had amazing food at Scarlet cafe.",good,,
It's my 1st time experience with royal palm so far food was excellent good as well management's.,good,,
Thumbs-up,neutral,,
"Club time, sunset, lagoon and peace",neutral,,
"Amazing place to have family gatherings and events with stunning views and a clean environment.
Quiet happening place.",neutral,,
That was wonderful experience while attending the classes of Asad Yaqub IELTS classes at 1st floor board room,good,,
"I like the environment
The Royal Palm Golf and Country Club (RPGCC) is a golf course and social club complex in Lahore, Punjab, Pakistan. It is located on the Canal Bank Road in Lahore. It was previously owned by the Pakistan Railways and called the Pakistan Railways Golf Club. In 2001, the club was sold by Pakistan Railways to the current management and renamed as the Royal Palm Golf and Country Club. It is a national and international sports venue.As of 2013 memberships were the equivalent of $8,000.

In 2004, a large group of Bollywood personalities from India, including Akshay Kumar, Shilpa Shetty and Sajid Khan, were hosted at an event at the club during their visit to Lahore.",neutral,,
"Wonderful experience, place is awesome and food was also good",good,,
"Great place , smack in the middle of town on Canal road. Will go again. Great are well kept and are fast",good,,
"The Royal Palm Golf and Country Club (RPGCC) is a golf course and social club complex in Lahore, Punjab, Pakistan. It is located on the Canal Bank Road in Lahore. It was previously owned by the Pakistan Railways and called the Pakistan Railways Golf Club. In 2001, the club was sold by Pakistan Railways to the current management and renamed as the Royal Palm Golf and Country Club. It is a national and international sports venue. As of 2013 memberships were the equivalent of $8,000.

In 2004, a large group of Bollywood personalities from India, including Akshay Kumar, Shilpa Shetty and Sajid Khan, were hosted at an event at the club during their visit to Lahore",neutral,,
"Royal Palm golf and country club very very good experience ??????????
Swimming pool jacuzzi sauna bath too much good ??
Restaurants we enjoying finger fish 10/10 ?? & Mexican beef steak ?? 7/10",good,,
It could be the best golf and country club if government doesn't interfere.. Still better than others,good,,
Royal palm has the best security in all of lahore and has amazing ambience. The royal palm is built at a very prime location and over all amazing,good,,
Good place for events and they have graet food,good,,
Food is good. Better than PC. The environment is ambient.,good,,
Food is alvz just ok attended uncountable events a very good place for events ??,good,,
Its beautiful golf club. They have swimming pool.gem and restaurant. Lovely place to spend time.,good,,
"It was a great place. I have enjoyed allot over there. That place is not just for Golf, there is also a tennis playground, a restaurant having delicious foods and a Marquee for a marriage ceremony and other functions. You should go and visit that place.",good,,
"Good golf club, but dining experience wasn't upto the mark.

It's for members only",neutral,,
"Beautiful course and more on difficult side with its slopes and dog -legs, full grown variety of trees and water hazards, the club and the course has potential to be more like what it used to be. You will find course greens to be in great condition in october.  Good food.",neutral,,
"One of the best recreational clubs in Lahore with cinema, event halls, golf club, gym and other recreational facilities.",good,,
"Great place.
It has security of good deal.A lot of slots for parking.Many concerts had been conducted here.you can watch movies here as there is also a cinema i don't  know about it whatever it kind of but may be you  will enjoy.I didn't  see golf club because it went to education expo that was  really great.",good,,
"Calm atmosphere, tasty lunch and dinner served.",neutral,,
I have an extraordinary experience when I go there ??,neutral,,
"I came all the way from US to attend my cousins Valima unfortunately,i am surprised to see the Decor arrangements
That they installed some sort of decorative structure from where it was nearly impossible to cross the wheel chair.
No cleanliness on Sofas and the decorator seriously ruined their event.
And i would recommend everyone not to choose RPGCC for your valuable events.
Very unpleasant experience.",bad,,
Amazing facilities and very good and accommodating staff,good,,
"Had great valuable time with my buddies, open air, wast and well decor",neutral,,
Wedding was here and we attended. Parking is good and nearby. There is a place to pray. So it's good to thank Allah. And ask forgiveness. It's a big place so there multiple weddings at one time. I did not see the rest. But I  assuming it is clean and smoke free. May Allah save us from the fire.,neutral,,
"Food Prices are very Reasonable.Good Ambiance specially in  Palmers Bar.Chamelon Menu is not available.Overall much better as compared to other Restaurants.Their Signature Dishes are
1.Stuffed Chicken
2.Finger Fish
2.Chicken Tawa Qeema
And in starters  Chicken Hot & Sour Soup.",neutral,,
"Attended a wedding ceremony last night. Contrary to current good rating appearing on this website, my experience was poor. The place is not wheel chair friendly, the wedding hall had so many hazards that makes it dangerous for children and even for fully fit individuals. I saw a number of children getting injured due to these uneven surfaces. I believe the event organizers, Rida decorator, had extremely mismanaged the event. They also used poor quality decorations, carpets were dirty, tables were small and sofas on the main stage were dirty too. There was a so called fountain which looked like a paddling pool. I wouldnt recommend this place or the event organizers to anyone ever. Guys be careful - dont ruin your events with these highly unprofessional people or place.",bad,,
It was a great experience with royal palm with amazing facilities provided we enjoyed alot,good,,
It's a lavish place for leisure activities.,neutral,,
Beautiful place with a great landscape view.,good,,
Its a good place having wonderful golf course but food standard is low,good,,
"Nice in all aspects as the Service, Food, Staff, Approach & Ambiance all great ??.
I attend an event on 10th June but the management make the hall chilled even at 6PM as the event even started at  7PM.

Service 10/10
Food 10/10
Ambiance 9/10
VOM 9/10",good,,
"Food was very nice and so was the ambiance.
Attended a walima ceremoney.
Good parking space and spacious area.
Well organized.
Had food (Chicken Biryani and Chiken Korma) was 10/10",neutral,,
Great Experience.. Management Very Cooperative.. Recommend for any function ??,good,,
Experience was nice but food quality was not as much better as it could be,good,,
Ambience is good but the food was not good at all.,bad,,
Good place for family functions but the food was not good.,neutral,,
"NICE PLACE WITH QUALITY FOOD
GREAT EXPERIENCE",good,,
Food is good. Excellent taste and service,good,,
Good ambience. Tasty foodv,good,,
Very Nice Place for wedding events in Lahore,good,,
excellent arrangements nice staff n a very nice experience at my daughter's Nikah function .,good,,
"V.well decor and managed ,must care abouf the time slot.they will not give u a single min extra.",neutral,,
"Today my friend wedding at Windsor banquet hall and absolutely loved it. The manager are wonderful work.I didn't hear a single complain from and of the guest.The food was wonderful along with the service. I would recommend this venue to any couple looking for a place for their special day.
Thanks you to Windsor banquet hall
Ownership and management",good,,
"I am very keen observer about food and ambiance but really enjoyed the function of my beloved friend son at Windsor on 24 July.
Everything is so well maintained. Their staff was really cooperative and the Decor was amazing.
Last but not least Food was awesome. Quality was very and well served. I must say
Keep it up Windsor Team ... Best of luck",good,,
"All Garrison halls are good and their food is ok but the thing is that it is all about our tax money.
In fact our army is getting involved in executive life style. Executive businesses and the poor people are dying of hunger.
We can celebrate our functions here and meanwhile someone dies of hunger.

I always think this when I attend any function here.",neutral,,
The food here is tasty. The service also is very good. Location is also easily accessible. Environment and decoration of hall is very beautiful ??????.,good,,
"Arranged my brother's walima reception (06-Nov Lunch). Booked full hall.
Highly satisfied with rates, they're offering maximum menu items in minimum rates (all LGGCC wedding halls)
Everything was perfectly managed from start to end (special thanks to Mr. Usman). Decor team was also very helpful (special thanks to Miss. Sehar).
Hall managers were really cooperative as well.
The best thing about the venue? FOOD, simply outstanding.",good,,
"Highly Recommended if you are looking for extraordinary spectacular event, Spacious & Comfortable seating, Attractive decoration setting, pleasant interiors and delicious food. All under one roof.",good,,
Event hall. Good ambiance but interor decor needs update. Table have too big vase u can't even see the person on other side. Food just average,neutral,,
Hall itself is ok food is ok..but poor management by the administration..i went to a wedding of a friend recently and they turned the lights 20 mins prior to the timings..its a wedding event and people have paid you enormous sums of money..they should show some courtesy and cooperate with the people.leave such a bad aftertaste..there are many other halls available with better arrangements..,neutral,,
"Strongly recommended! Great decor, food and friendly management :) Great value for money.",good,,
"In this Era of Heavy Budgets wedding, when everyone is Charging beyond your expectations,
Found ""Windsor"", The Most Perfect place to Arrange your functions, within your budget, with beautiful Ambiance, Tasty Food, Active Staff and Perfect Management. Highly Recommended",good,,
"Today I attend wedding event in Windsor Hall. I am very satisfied bcz all the garrison halls I have visited till date I liked their quality the best.
Food .......100/95
Hall..........100/95
Service ....100/95
Cooling ....100/90
Decor ......100/80
Staff behaviour 100/95",good,,
It's a good place and food is so testy,good,,
"Maine yahan 2 events kiye han superb service superb support time management,  they will make your event remarkable and rememberable , best team. Recommended 1000%",good,,
"HALL IS VERY VERY BEAUTIFULL.
SERVICE IS GOOD BUT FOOD STANDARD IS NOT GOOD ENOUGH. IMPROVE UR FOOD TASTE.",neutral,,
Very good service and good work really I am very happy best marriage banquet hall .. all guest are satisfied with the work..Windsor banquet hall is great..and also food quality ic to good,good,,
